frameID,eventType,player1Position,player2Position,ballPosition,speed
432,,"[9.2, 46.2, 0.0]","[-3.53, -46.83, 0.0]",,
433,,"[9.1, 46.2, 0.0]","[-3.57, -48.43, 0.0]",,
434,,"[9.1, 46.2, 0.0]","[-3.61, -50.03, 0.0]",,
435,,"[8.9, 46.2, 0.0]","[-3.65, -51.63, 0.0]",,
436,,"[8.8, 46.2, 0.0]","[-3.78, -48.43, 0.0]",,
437,,"[8.7, 46.2, 0.0]","[-3.78, -48.43, 0.0]",,
438,,"[8.7, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
439,,"[8.7, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
440,,"[8.7, 46.2, 0.0]","[-3.99, -48.43, 0.0]",,
441,,"[8.8, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
442,,"[8.8, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
443,,"[8.9, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
444,,"[9.1, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
445,,"[9.3, 46.2, 0.0]","[-3.99, -48.43, 0.0]",,
446,,"[9.5, 46.2, 0.0]","[-3.99, -48.43, 0.0]",,
447,,"[9.6, 46.2, 0.0]","[-3.97, -51.77, 0.0]",,
448,,"[9.8, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
449,,"[10.1, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
450,,"[10.4, 46.2, 0.0]","[-3.88, -48.43, 0.0]",,
451,,"[10.7, 46.2, 0.0]","[-3.93, -50.07, 0.0]",,
452,,"[11.0, 46.1, 0.0]","[-3.93, -50.07, 0.0]",,
453,,"[11.4, 46.1, 0.0]","[-3.88, -48.43, 0.0]",,
454,,"[11.5, 46.1, 0.0]","[-3.88, -48.43, 0.0]",,
455,,"[11.7, 46.1, 0.0]","[-4.02, -53.51, 0.0]",,
456,,"[11.8, 46.1, 0.0]","[-4.02, -53.51, 0.0]",,
457,,"[12.0, 46.1, 0.0]","[-3.78, -48.43, 0.0]",,
458,,"[12.3, 46.1, 0.0]","[-3.78, -48.43, 0.0]",,
459,,"[12.4, 46.1, 0.0]","[-3.78, -48.43, 0.0]",,
460,,"[12.6, 46.1, 0.0]","[-3.88, -48.43, 0.0]",,
461,,"[12.9, 46.1, 0.0]","[-3.99, -48.43, 0.0]",,
462,,"[13.0, 46.1, 0.0]","[-3.99, -48.43, 0.0]",,
463,,"[13.2, 46.1, 0.0]","[-4.09, -48.43, 0.0]",,
464,,"[13.3, 46.1, 0.0]","[-4.14, -50.07, 0.0]",,
465,,"[13.4, 46.1, 0.0]","[-4.09, -48.43, 0.0]",,
466,,"[13.3, 46.1, 0.0]","[-4.14, -50.07, 0.0]",,
467,,"[13.3, 46.1, 0.0]","[-4.14, -50.07, 0.0]",,
468,,"[13.3, 46.1, 0.0]","[-4.14, -50.07, 0.0]",,
469,,"[13.2, 46.1, 0.0]","[-4.19, -48.43, 0.0]",,
470,,"[13.1, 46.1, 0.0]","[-4.19, -48.43, 0.0]",,
471,,"[13.1, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
472,,"[13.0, 46.1, 0.0]","[-4.4, -51.77, 0.0]",,
473,,"[12.9, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
474,,"[12.8, 46.1, 0.0]","[-4.4, -51.77, 0.0]",,
475,,"[12.7, 46.1, 0.0]","[-4.4, -51.77, 0.0]",,
476,,"[12.6, 46.1, 0.0]","[-4.29, -51.77, 0.0]",,
477,,"[12.5, 46.1, 0.0]","[-4.4, -51.77, 0.0]",,
478,,"[12.4, 46.1, 0.0]","[-4.35, -50.07, 0.0]",,
479,,"[12.4, 46.1, 0.0]","[-4.51, -51.77, 0.0]",,
480,,"[12.3, 46.1, 0.0]","[-4.4, -48.43, 0.0]",,
481,,"[12.3, 46.1, 0.0]","[-4.4, -48.43, 0.0]",,
482,,"[12.1, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
483,,"[12.0, 46.1, 0.0]","[-4.4, -48.43, 0.0]",,
484,,"[11.9, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
485,,"[11.7, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
486,,"[11.6, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
487,,"[11.4, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
488,,"[11.4, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
489,,"[11.3, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
490,,"[11.2, 46.1, 0.0]","[-4.3, -48.43, 0.0]",,
491,,"[11.3, 46.1, 0.0]","[-4.4, -48.43, 0.0]",,
